Membership No  Date Joined  Active  
    68338      2018-12-5    no    
    57135      2017-4-24    no    
    68259      2015-5-14    no    
    64008      2015-8-9     no    
    67327      2018-3-23    no    
    29687      2018-1-1     no    
    29333      2016-6-17    no    
    37889      2015-9-7     no    
    55043      2018-11-7    yes   
    36452      2016-5-10    no    
    90716      2018-12-11   no    
    20882      2015-4-2     no    
    55891      2017-10-9    yes   
    64662      2016-4-25    yes   
    43562      2020-12-21   yes   
    77421      2020-10-2    yes   
    90156      2018-2-22    no    
    78205      2015-8-15    no    
    43564      2020-7-3     yes   
    47243      2018-8-11    yes   
